id,person_id,book,content,is_review
15,17226,唐诗汇评,"杜审言（648？—708）,字必简，祖籍襄阳（今湖北襄类），父迁居巩县（今属河南）。高宗咸亨元年（670）擢进士第，授隰城尉，迁江阴尉，转洛阳丞。武后圣历元年，坐事贬吉州司户参军，寻免归，武则天召见，拜著作佐郎，迁膳部员外部。中宗神龙初，坐与张易之兄弟交往，流峰州。不久召还，授国子监主簿，加修文馆直学士，卒。审言善五言诗，工书翰，与李峤、崔融、苏味道并称“文章四友”。有《杜审言集》十卷，已佚。今《杜审言诗集》三卷乃后人所辑。《<a href='https://cnkgraph.com/Book/2484' target='_blank'>全唐诗</a>》编诗一卷。今人徐定祥有《杜审言诗注》。",false
16,17226,《唐诗品》,学士高才命世，凌轹同等，律调琅然，极其华茂。然其心灵流畅，不烦构结，而自出雅致。旷代高之，以为家祖。少陵雄生后代，威凤之丸，不离苞素者也。《守岁》篇云：“宫阙星河低拂树，殿庭灯烛上薰天”，气色高华，罕得其比。,true
17,17226,《艺苑卮言》,杜审言华藻整栗，小让沈、宋，而气度高逸，神情圆畅，白是中兴之祖，宜其矜率乃尔。,true
18,17226,《艺圃撷馀》,杜必简性好矜诞，至欲“衙官屈、宋”。然诗自佳，华于子昂，质丁沈、宋，一代作家也。乃有杜陵鬯其家风，盛哉！,true
19,17226,《诗薮》,初唐无七言，五言亦未超然。二体之妙，杜审言实为首倡。五言则“行止皆无地”、“独有宦游人”，排律则“六位乾坤动”、“北地寒应苦”，七言则“季冬除夜”、“毗陵震泽”，皆极高华雄整。少陵继起，百代模楷，有自来矣。,true
20,17226,《诗镜总论》,杜审言浑厚有馀。,true
21,17226,《唐诗归》,钟云：初唐诗至必简，整矣，畅矣。吾尤畏其少。古人作诗不肯多，意其不善。又云：必简数诗，开诗家齐整平密一派门户，在初唐实亦创作。,true
22,17226,《诗源辨体》,杜审言五言律体巳成，所未成者，长短两篇而已。今观沈、宋集中，亦尚有四、五篇未成者。然则五言律体实成于杜、沈、宋，而后人但言成于沈、宋，何也？审言较沈、宋复称俊逸，而体自整栗，语自雄丽，其气象风格自在，亦是律诗正宗。,true
23,17226,《唐诗绪笺》,五言律诗贵乎沉实温丽，雅正清远。含蓄深厚，有言外之意；制作平易，无艰难之患。最不宜轻浮俗浊，则成小人对属矣。似易而实难。又须风格峻整，音律雅浑，字字精密，乃为得体。初唐惟杜审言创造工致，最为可法。,true
24,17226,《唐律消夏录》,必简诗用意深老，措辞缜密，虽极平常句中，一字皆不虚设。其于射洪，犹班之于史也。后来尽得其法者，唯文孙工部一人。,true
25,17226,《载酒园诗话又编》,杜必简散朗轩豁，其用笔如风发漪生，有遇方成珪、遇圆成璧之妙。即作磊砢语，亦犹苏子瞻坐桄榔林下食芋饮水，略无攒眉蹙额之态。此僻涩苦寒之对剂也。但上苑芳菲，止于明媚之观。,true
26,17226,《石洲诗话》,杜必简于初唐流丽中，别具沉挚，此家学所有启也。,true
27,17226,《三唐诗品》,承流散藻，词非一骨，间有六代遗音，而律诗清柔，无复陈隋健响，于初唐最为晚派。自诞“衙官屈宋”，殊太过情。乃如“云霞出海”、“草绿长门”，亦自独辟生蹊，发为孤秀，以罕见长耳。,true
28,18262,中國歷代人名大辭典,"【生卒】：649或650—675或676
【介紹】：
唐絳州龍門人，字子安。王福峙子。六歲能屬文，構思無滯，詞情英邁。九歲作《指瑕》，擿顏師古注《<a href='https://cnkgraph.com/Book/2401' target='_blank'>漢書</a>》之失。高宗麟德初，對策高第。任虢州參軍。恃才傲物，為同僚所嫉。犯罪當誅，遇赦革職，其父亦因之貶交趾令。上元二年赴交趾省父，途經南昌，撰《滕王閣序》，為世所稱。旋因渡海墮水而卒。有詩名，與楊炯、盧照鄰、駱賓王合稱初唐四杰。有集。",false
