id,name,type,aliases,desc,writing_count
450,秋夜月,Ze,,调见《尊前集》，因尹鹗词起结有“三秋佳节”及“夜深、窗透数条寒月”句，取以为名。《乐章集》注“夹钟商”。,6
451,祭天神,Ze,,调见柳永《乐章集》，八十四字词注“中吕调”，八十五字词注“歇指调”。,10
452,鹤冲天,Ze,,调见柳永《乐章集》。“閒窗漏永”词注“大石调”。“黄金榜上”词注“正宫”。与《喜迁莺》、《春光好》别名《鹤冲天》者不同。,14
453,少年游慢,Ze,,调见张先词。因词有“少年得意时节”句，取以为名，与《少年游令》不同。,3
454,兀令,Ze,,调见《东山集》。,2
455,踏青游,Ze,,调见苏轼词，踏青作也。因词有“踏青游”句，取以为名。,19
456,梦玉人引,Ze,,此调有平韵、仄韵两体，字句大同小异。,16
457,蕙兰芳引,Ze,蕙兰芳,调见《清真乐府》，方千里、杨泽民、陈允平俱有和词。杨词一名《蕙兰芳》，无“引”字。,44
458,倾杯近,Ze,,调见袁去华集。与《倾杯令》、《倾杯乐》二体不同。,2
459,清波引,Ze,,调见《白石集》，姜夔自度曲。,30
460,簇水,Ze,,调见《惜香乐府》。,17
461,受恩深,Ze,,一作《爱恩深》。《乐章集》注“大石调”。,3
462,婆罗门令,Ze,,调见柳永《乐章集》，原注“夹钟商”。与《婆罗门引》不同。,10
463,华胥引,Ze,,按《列子》：“黄帝昼寝，而梦游于华胥，既寤，怡然自得。又二十八年，天下大治，几若华胥国矣。”调名取此，词见《清真集》。,41
464,五福降中天,Ping,,调见《花草粹编》，一作《五福降中天慢》。,2
465,离别难,PingZeSwitch,,唐教坊曲名。按段安节《乐府杂录》：“天后朝，有士人妻配入掖庭，善吹觱篥，乃撰此曲，盖五言八句诗也。”《白居易集》亦有七言绝句诗。薛词见《花间集》，乃借旧曲名另倚新声者，因词有“罗帏乍别情难”句，取以为名。宋柳永词则又与薛词不同，《乐章集》注“中吕调”。,14
466,江城梅花引,Ping,摊破江城子|四笑江梅引|梅花引|江梅引|明月引|西湖明月引,按万俟咏《梅花引》句读与《江城子》相近，故可合为一调。程垓词换头句藏短韵者名《摊破江城子》。江皓词三声叶者四首，每首有一“笑”字，名《四笑江梅引》。周密词三声叶韵者名《梅花引》，全押平韵者名《明月引》。陈允平词名《西湖明月引》。,139
467,寰海清,Ping,,《宋史·乐志》：“琵琶曲名，大石调。”,2
468,劝金船,Ze,,"张先词序：“流杯堂唱和翰林主人元素自撰腔。”苏轼词序：“和元素韵，自撰腔命名。”
　　按元素，杨绘元素也。因张先词有“何人窨得金船酒”句，名《劝金船》。",6
469,醉思仙,Ping,,调见吕渭老词，因词有“怎惯不思量”及“当时醉倒残缸”句，取以为名。,6
470,玉人歌,Ze,,调见《西樵语丛》。,8
471,惜红衣,Ze,,姜夔自度曲，属无射宫，取词内“红衣半狼籍”句为名。,132
472,鱼游春水,Ze,,《复斋漫录》：”政和中，一中贵使越州回，得词于古碑，无名无谱，录以进御，命大晟府填腔，因词中语，赐名《鱼游春水》。”,25
473,卜算子慢,Ze,,《乐章集》注“歇指调”。,38
474,雪狮儿,Ze,,调见《书舟集》。,44
475,石湖仙,Ze,,姜夔自度曲，寿范成大作也。成大号石湖，故以“石湖仙”命调，《白石集》注“越调”。,41
476,八六子,Ping,感黄鹂,秦观词有“黄鹂又啼数声”句，又名《感黄鹂》。,57
477,谢池春慢,Ze,,调见《古今词话》，张先玉仙观道中逢谢媚卿作，盖慢词也，与六十六字《谢池春》令词不同。,12
478,采桑子慢,Ping,丑奴儿慢|愁春未醒|丑奴儿近|叠青钱,一名《丑奴儿慢》。潘元质词有“愁春未醒”句，亦名《愁春未醒》。辛弃疾词名《丑奴儿近》。《花草粹编》无名氏词名《叠青钱》。,54
479,探芳信,Ze,西湖春|西湖讯|探芳讯,调见《梅溪词》，张炎次周密“西泠春感”韵词，名《西湖春》。,64
480,遥天奉翠华引,Ping,,调见《懒窟词》。,2
481,夏云峰,Ping,,《乐章集》注“歇指调”。,20
482,采莲令,Ze,,按《宋史·乐志》，曲宴游幸，教坊所奏十八调曲，九曰《双调·采莲》，今柳永《乐章集》有之，亦注“双调”。《碧鸡漫志》：“夹钟商，俗呼双调”。,14
483,醉翁操,Ping,,琴曲，属正宫。苏轼自序：琅邪幽谷，山川奇丽，泉鸣空涧，若中音会。醉翁喜之，把酒临听，辄欣然忘归。既去十馀年，好奇之士沈遵闻之往游，以琴写其声，曰《醉翁操》。然有声而无词，好事者倚其声制曲，粗合拍度，而琴声为词所绳约，非天成也。后三十年，翁既捐馆舍，遵亦殁，有庐山玉涧道人崔閒，妙于琴，恨此曲之无词，乃谱其声，而请东坡居士补之云。,37
484,红芍药,Ze,,蒋氏《九宫谱目》入南吕调。,4
485,法曲献仙音,Ze,献仙音|越女镜心,陈旸《乐书》云：“法曲兴于唐，其声始出清商部，比正律差四律，有铙钹钟磬之音，《献仙音》其一也。”又云：“圣朝法曲乐器有琵琶、五弦筝、箜篌、笙、笛、觱篥、方响、拍板，其曲所存，不过道调《望瀛》、小石《献仙音》而已，其馀皆不复见矣。”《乐章集》注“小石调”。姜夔词注“大石调”。周密词名《献仙音》。姜夔词名《越女镜心》。按唐张籍酬朱庆馀诗有“越女新妆出镜心”句，姜词调名本此。,120
486,金盏倒垂莲,Ping,,此调有平韵、仄韵两体。平韵者见晁无咎《琴趣外篇》及《梅苑》词。仄韵者见《松隐词》。,10
487,塞翁吟,Ping,,调见《清真乐府》，取《淮南子》塞上叟事为调名。,29
488,意难忘,Ping,,元高拭词注“南吕调”。,94
489,东风齐著力,Ping,东风齐着力,调见《草堂诗馀》，胡浩然《除夕》词也。按《礼记·月令》：“孟春之月，东风解冻。”又唐人曹松《除夜》诗：“残腊即又尽，东风应渐闻。”故云《东风齐著力》。,35
490,远朝归,Ze,,调见《梅苑》词。,6
491,露华,Ze,露华慢,唐李白《清平调》词：“东风拂槛露华浓”，调名本此。按此调有仄韵、平韵两体，周密平韵词名《露华慢》。,50
492,薄媚摘遍,PingAndZe,薄媚,"沈括《梦溪笔谈》：“所谓大遍者，凡数十解，每解有数叠。裁截用之，则谓之摘遍。”
　　按《薄媚》大曲凡十遍，此盖摘其《入破》之一遍也。",12
493,恋香衾,Ping,,金词注“仙吕调”。,2
494,满江红,Ze,平调满江红|平韵满江红,此调有仄韵、平韵两体，仄韵词，宋人填者最多，其体不一，今以柳词为正体，其馀各以类列。《乐章集》注“仙吕调”，高栻词注“南吕调”。平韵词祇有姜词一体，宋元人俱如此填。,2336
495,凄凉犯,Ze,瑞鹤仙影,《白石词》注“仙吕调犯商调”，一名《瑞鹤仙影》。其自序曰：“合肥巷陌皆种柳，秋风夕起骚骚然。余客居阖户，时闻马嘶，出城四顾，则荒烟野草，不胜凄黯，乃著此解。琴有《凄凉调》，假以为名。凡曲言犯者，谓以宫犯商、商犯宫之类。如道调宫上字住，双调亦上字住，所住字同，故道调曲中犯双调，或于双调曲中犯道调，其他准此。唐人《乐书》云：犯有正、旁、偏、侧，宫犯宫为正，宫犯商为旁，宫犯角为偏，宫犯羽为侧。此说非也。十二宫所住字各不同，不容相犯。十二宫特可犯商、角、羽耳。”,91
496,浣溪纱慢,Ze,浣溪沙慢,调见《片玉集》，亦名《浣溪纱慢》。,13
497,四犯剪梅花,Ze,轳辘金井|辘轳金井|月城春|锦园春|三犯锦园春,调见《龙洲词》。前后段首句不押韵者名《四犯剪梅花》，押韵者名《轳辘金井》。卢祖皋词名《月城春》。又名《锦园春》，一名《三犯锦园春》。,39
498,高平探芳新,PingAndZe,,调见《梦窗词》，吴文英自度高平调曲。,5
499,临江仙慢,Ping,,《乐章集》注“仙吕调”。,14
500,雪明鳷鹊夜,Ze,,调见《花草粹编》。,2
501,玉漏迟,Ze,,蒋氏《九宫谱》：黄钟宫。,168
502,尾犯,Ze,碧芙蓉,调见《乐章集》。“夜雨滴空阶”词注“正宫”，“晴烟羃羃”词注“林钟商”。秦观词名《碧芙蓉》。,46
503,驻马听,Ping,,《乐章集》注“林钟商”。,7
504,雪梅香,Ping,,《乐章集》注“正宫”。,30
505,六幺令,Ze,绿腰|六么令|乐世|录要,"《碧鸡漫志》：“《六幺》一名《绿腰》，一名《乐世》，一名《录要》。或云此曲拍无过六字者，故曰《六么》。今《六么》行于世者，曰黄钟羽，即俗呼般涉调；曰夹钟羽，即俗呼中吕调；曰林钟羽，即俗呼高平调；曰夷则羽，即俗呼仙吕调，皆羽调也。”
　　按今《乐章集》，柳永九十四字词原注“仙吕调”，即《碧鸡漫志》所云羽调之一。",85
506,保寿乐,Ze,,周密《天基圣节乐次》：“再坐第六盏，觱篥独吹商角调筵前《保寿乐》。”,2
507,惜秋华,Ze,,吴文英自度曲。,64
508,古香慢,Ze,,吴文英自度曲，原注“夷则商，犯无射宫”。,16
509,芙蓉月,Ze,,调见《虚斋乐府》，盖咏芙蓉，因词中有“残月澹”句，故名《芙蓉月》。,4
510,一枝春,Ze,,调见杨缵词，其自度曲也。,71
511,梅子黄时雨,Ze,,调见《山中白云词》。,27
512,如鱼水,Ping,,《乐章集》注“仙吕调”。,5
513,赏松菊,Ze,,调见曹勋《松隐集》。,3
514,二色莲,Ze,,调见《松隐集》，即咏《二色莲》。,2
515,塞孤,Ze,塞孤,调见《乐章集》，原注“般涉调”。本名《塞孤》，《词律》编入《塞姑》词，后者误。,16
516,水调歌头,Ping,元会曲|凯歌,《碧鸡漫志》属中吕调。毛滂词名《元会曲》，张矩词名《凯歌》。按《水调》乃唐人大曲，凡大曲有歌头，此必裁截其歌头，另倚新声也。,1894
517,扫地游,Ze,扫花游|埽花游|埽地游|埽地花,调见《清真词》，因词有“占地持杯，扫花寻路”句，取以为名。又名《扫花游》。,170
518,满庭芳,Ping,锁阳台|满庭霜|潇湘夜雨|话桐乡|江南好|满庭花|转调满庭芳,此调有平韵、仄韵两体。平韵者，周邦彦词名《锁阳台》。葛立方词有“要看黄昏庭院，横斜映霜月朦胧”句，名《满庭霜》。晁补之词有“堪与潇湘暮雨，图上画扁舟”句，名《潇湘夜雨》。韩淲词有“甘棠遗爱，留与话桐乡”句，名《话桐乡》。吴文英词因苏轼词有“江南好，千钟美酒，一曲满庭芳”句，名《江南好》。张野词名《满庭花》。《太平乐府》注“中吕宫”，高拭词注“中吕调”。仄韵者，《乐府雅词》名《转调满庭芳》。,1454
519,白雪,Ping,,调见《逃禅集》，杨无咎自制曲。题本赋雪，故即以《白雪》名调。,3
520,徵招,Ze,征招,《宋史·乐志》：“政和间，诏以大晟雅乐施于燕飨，御殿按试，补徵、角二调，播之教坊。”调名始此。,117
521,双瑞莲,Ze,,调见《虚斋乐府》，词咏并头莲，即以为名。,6
522,玉京秋,Ze,,调见《蘋洲渔笛谱》。,28
523,小圣乐,PingAndZe,骤雨打新荷,金元好问自度曲。《太平乐府》、《太和正音谱》俱注“双调”。蒋氏《九宫谱目》入小石调。因词中前结有“骤雨过，打遍新荷”句，更名《骤雨打新荷》。,3
524,玉女迎春慢,Ze,,调见凤林书院元词。,9
525,玉梅香慢,Ze,,调见《梅苑》，与《梅香慢》、《早梅香》、《雪梅香》不同。,1
526,金浮图,Ze,,调见《尊前集》。,10
527,阳台路,Ze,,《乐章集》注“林钟商”。,10
528,黄莺儿,Ze,,调见《乐章集》，原注“正宫”。即咏黄莺儿，取以为名。,23
529,天香,Ze,,《法苑珠林》云：“天童子天香甚香。”调名本此。,175
530,熙州慢,PingAndZe,熙州,《唐书·礼乐志》：“天宝乐曲皆以边地名，若伊州、甘州、凉州之类。”　按宋改镇洮军为熙州，本秦汉时陇西郡，亦边地也。调名《熙州》，义或取此。,3
531,汉宫春,Ping,汉宫春慢,《高丽史·乐志》名《汉宫春慢》。此调有平韵、仄韵两体，平韵词八首，仄韵词两首，皆以前后段起句用韵、不用韵辨体。,209
532,倦寻芳,Ze,倦寻芳慢,王雱词注“中吕宫”。潘元质词名《倦寻芳慢》。,109
533,剑器近,Ze,,《宋史·乐志》：“教坊奏《剑器》曲，其一属中吕宫，其二属黄钟宫，又有《剑器》舞队。”此云“近”者，其声调相近也。,9
534,秋兰香,Ping,,调见《全芳备祖》。,3
535,凤鸾双舞,Ze,,调见《水云词》。,1
536,行香子慢,Ping,,调见《高丽史·乐志》，此《行香子》慢词，与《行香子》小令不同。,2
537,甘露滴乔松,PingAndZe,,调见《翰墨全书》。,3
538,庆千秋,Ping,,调见《翰墨全书》。周密《天基圣节乐次》云：“第十盏，笛独吹高平调《庆千秋》。”,2
539,塞垣春,Ze,,调见《片玉词》。,22
540,望云间,Ping,望云閒,调见《翰墨全书》，赵可登代州南楼，自度此腔。,5
541,步月,Ping,,此调有平韵、仄韵两体。平韵者见史达祖《梅溪词》，仄韵者见施岳《梅川词》。,11
542,早梅香,Ze,,调见《梅苑》，因词中有“探得早梅”及“乱飞香雪”句，故名。,1
543,八声甘州,Ping,八声|甘州|萧萧雨|潇潇雨|宴瑶池,《碧鸡漫志》：“《甘州》，仙吕调，有曲破，有八声，有慢，有令。”按此调前后段八韵，故名“八声”，乃慢词也，与《甘州遍》之曲破，《甘州子》之令词不同。《乐章集》亦注“仙吕调”。周密词名《甘州》。张炎词因柳词有“对萧萧暮雨洒江天”句，更名《萧萧雨》。白朴词名《宴瑶池》。,648
544,迷神引,Ze,,《乐章集》注“中吕调”。,26
545,醉蓬莱,Ze,雪月交光|冰玉风月,《乐章集》注“林钟商”。赵磻老词有“璧月流光，雪消寒峭”句，名《雪月交光》。韩淲词有“玉作山前，冰为水际，几多风月”句，名《冰玉风月》。,180
546,凤凰台上忆吹箫,Ping,忆吹箫,《列仙传拾遗》云：“萧史善吹箫，作鸾凤之声。秦穆公有女弄玉，善吹箫，公以妻之，遂教弄玉作凤鸣。居十数年，凤凰来止，公为作凤台，夫妇止其上。数年，弄玉乘凤，萧史乘龙去。”调名取此。《高丽史·乐志》一名《忆吹箫》。,269
547,夜合花,Ping,,调见《琴趣外篇》。按夜合花，合欢树也，唐韦应物诗：“夜合花开香满庭”，调名取此。,47
548,采明珠,Ze,,曹植《洛神赋》：“或采明珠”，调名取此。《宋史·乐志》：“曲破中吕调，《采明珠》。”,2
549,庆清朝,Ping,,一作《庆清朝慢》。,68
550,黄鹂绕碧树,Ze,,调见《清真乐府》。,14
551,帝台春,Ze,,唐教坊曲名。《宋史·乐志》：琵琶曲有《帝台春》，属无射宫。,18
552,瑶台第一层,Ping,,宋陈师道《后山诗话》：“武才人出庆寿宫，裕陵得之。会教坊献新声，为作词，号《瑶台第一层》。”,30
553,暗香,Ze,红情,宋姜夔自度仙吕宫曲，咏梅花作也。张炎以此调咏荷花，更名《红情》。,159
554,梦芙蓉,Ze,,吴文英自度曲，题赵昌所画芙蓉作也，因词有“梦断琼仙”句，故名《梦芙蓉》。,34
555,西子妆,Ze,西子妆慢,张炎词序：“吴梦窗自制此曲。”或加“慢”字。,82
556,玉京谣,Ze,,吴文英自度曲，自注“夷则商，犯无射宫”。按《枕中书》：“玉京在大罗天之上。”李白诗有“手把芙蓉朝玉京”句。此文英赠陈藏一词，见《随隐漫录》，盖赋京华羁旅之况，故借玉京以为调名。,21
557,被花恼,Ze,,杨缵自度曲，因词中有“被花恼”句，取以为名。,20
558,绿盖舞风轻,Ze,,调见《蘋洲渔笛谱》，周密咏荷花自度曲也。,9
559,月边娇,Ze,,调见《蘋洲渔笛谱》，周密自度曲。,10
560,松梢月,Ping,,调见曹勋《松隐集》，因词有“喜挹蟾华当松顶”句，取以为名。,1
561,四槛花,Ping,,调见曹勋《松隐集》。,2
562,长亭怨慢,Ze,长亭怨,姜夔自度中吕宫曲，或作《长亭怨》，无“慢”字。,240
563,玉簟凉,Ping,,调见《梅溪词》。,13
564,留客住,Ze,,唐教坊曲名。《乐章集》注“林钟商”。,19
565,昼夜乐,Ze,,《乐章集》注“中吕宫”。,23
566,雨中花慢,Ping,,此词有平韵、仄韵两体。平韵者始自苏轼，仄韵者始自秦观。柳永平韵词，《乐章集》注“林钟商”。,86
567,万年欢,Ping,万年欢慢|万年歌,唐教坊曲名。《宋史·乐志》：“中吕宫”。《高丽史·乐志》名《万年欢慢》，《元史·乐志》：“舞队曲”。此调有三体，平韵者始自王安礼，仄韵者始自晁补之，平仄韵互叶者始自元赵孟頫。,76
568,燕春台,Ping,夏初临|宴春台,此调始自张先，盖春宴词也。因黄裳有夏宴词，刘泾改名《夏初临》，旧谱或以《燕春台》与《夏初临》两列者误。,60
569,逍遥乐,Ze,,调见黄庭坚《琴趣外篇》，即赋本意。,5
570,八节长欢,Ping,,调见《东堂词》。,13
571,忆东坡,Ze,,调见《相山居士词》，盖忆东坡作也，即以题为调名。,2
572,粉蝶儿慢,Ze,,调见《片玉词》。,4
573,并蒂芙蓉,Ze,,《能改斋漫录》：“政和癸巳，大晟乐成，蔡京以晁端礼荐，诏乘驿赴阙。端礼至都，会禁中嘉莲生，遂属词以进，名《并蒂芙蓉》。”,6
574,黄河清慢,Ze,黄河清,《铁围山丛谈》云：“宣和初，燕乐初成，八音告备，有曲名《黄河清》，音调极韶美，天下无问遐迩大小，皆争唱之。”,9
575,春草碧,Ze,,"调见《大声集》，自注“中管高宫”。按《唐书·礼乐志》有中管之名，而不详其义。至宋仁宋《乐髓新经》始云：“大吕宫为高宫，太簇宫为中管高宫，盖以太簇宫与大吕宫同字谱，故谓之中管也，俗谱以中管高为调名者误。”
　　姜夔集有太簇宫《喜迁莺》词，自注“俗呼中管高宫”。",3
576,芰荷香,Ping,,调见《大声集》。金词注“双调”。,12
577,绣停针,Ze,绣定针,调见《放翁词》。,9
578,扬州慢,Ping,,宋姜夔自度中吕宫曲。,129
579,舞杨花,Ping,,"宋张端义《贵耳集》云：“慈宁殿赏牡丹，时椒房受册，三殿极欢，上洞达音律，自制曲，赐名《舞杨花》。停觞命小臣赋词，俾贵人歌以侑玉卮为寿，左右皆呼万岁。”
　　按此词载康与之《乐府》，或与之应制拟作也。",1
580,双双燕,Ze,,调见《梅溪集》，词咏双燕，即以为名。,75
581,孤鸾,Ze,,调见朱敦儒《太平樵唱》。,34
582,云仙引,Ping,,冯伟寿自度曲，原注“夹钟商”。,10
583,玲珑玉,Ping,,调见凤林书院元词，姚云文自度曲。,28
584,陌上花,Ze,,《东坡词话》：“钱塘人好唱《陌上花》、《缓缓曲》，盖吴越王遗事也。”调名取此。,56
585,福寿千春,Ze,,调见《花草粹编》。,1
586,夏日燕黉堂,Ping,,调见《乐府雅词》。,3
587,水晶帘,Ze,,调见《翰墨全书》。,7
588,三部乐,Ze,,调见《东坡词》。按《唐书·礼乐志》：“明皇分乐为二部，堂下立奏，谓之立部伎；堂上坐奏，谓之坐部伎。又酷爱法曲，选坐部伎子弟三百，教于梨园，为法曲部。”三部之名，疑出于此。,29
589,梦扬州,Ping,,宋秦观自制曲，取词中结句为名。,16
590,声声慢,Ping,胜胜慢|神光灿|人在楼上,蒋氏《九宫谱》注“仙吕调”。晁补之词名《胜胜慢》。吴文英词有“人在小楼”句，名《人在楼上》。此调有平韵、仄韵两体，平韵者以晁补之、吴文英、王沂孙词为正体，仄韵者以高观国词为正体。,342
591,紫玉箫,Ping,,《宋史·乐志》：“歇指调”。,9
592,无闷,Ze,,调见《书舟词》，汲古阁本刻《闺怨无闷》者误。,16
593,月下笛,Ze,,调始周邦彦《片玉词》，因词有“凉蟾莹彻”及“静倚官桥吹笛”句，取以为名。,98
594,玲珑四犯,Ze,,此调创自周邦彦《清真集》，方千里、杨泽民、陈允平俱有和词。姜夔又有自度黄钟商曲，与周词句读迥别，因调名同，故亦类列。,147
595,丁香结,Ze,,调见《清真集》。古诗有“丁香结恨新”，调名本此。,34
596,琐窗寒,Ze,锁寒窗|琐窗寒|璅窗寒|锁窗寒,一名《锁寒窗》，调见《片玉集》，盖寒食词也。因词有“静锁一庭愁雨”及“故人剪烛西窗雨”句，取以为名。,235
597,大有,Ze,,调见《片玉集》。,11
598,燕山亭,Ze,宴山亭,“燕”或作“宴”，然与《山亭宴》无涉。,54
599,聒龙谣,Ze,,调见朱敦儒《樵歌词》，因词有“聒龙啸”句，取以为名。,15
600,金菊对芙蓉,Ping,提壶鸟,蒋氏《九宫谱》：中吕引子。,89
601,催雪,Ze,无闷,此调始自姜夔，本催雪词也，即以为名。吴文英、王沂孙俱有此调词。与《无闷》调不同，《词律》类列者误。,50
602,十月桃,Ping,十月梅,调见《乐府雅词》，赋十月桃，即以为名。《梅苑》无名氏词，咏十月梅，即名《十月梅》。,9
603,蜀溪春,Ping,,调见《松隐集》，咏黄蔷薇花。因词有“蜀景风迟，浣花溪边”，“占上苑，留住春”句，取以为名。,2
604,秋宵吟,Ze,,宋姜夔自度越调曲。,25
605,三姝媚,Ze,,调见《梅溪集》。,166
606,凤池吟,Ping,,调见《梦窗词》。,5
607,新雁过妆楼,Ping,雁过妆楼|瑶台聚八仙|八宝妆|百宝妆|八宝装|百宝装,一名《雁过妆楼》，张炎词名《瑶台聚八仙》，陈允平词名《八宝妆》，《高丽史·乐志》名《百宝妆》。,81
608,月华清,Ze,,调见《空同词》。,100
609,国香,Ping,国香慢,周密词名《国香慢》，自注“夷则商”。,53
610,飞龙宴,Ze,,调见《花草粹编》，注“吴七君王姬苏小娘制。”,2
611,御带花,Ze,,调见《六一居士词》。,7
612,定风波慢,Ze,,此调有两体。一百字者，柳永词注“林钟商”，张翥词注“商角调”，有《梅苑》词可校。一百五字者，柳永词注“夹钟商”，无宋词可校。,19
613,芳草,Ping,凤箫吟,晁补之词名《凤箫吟》。,30
614,念奴娇,Ze,大江东去|酹江月|赤壁词|酹月|壶中天|壶中天慢|大江西上曲|太平欢|寿南枝|古梅曲|湘月|淮甸春|白雪词|百字令|百字歌|百字谣|无俗念|千秋岁|庆长春|杏花天,"《碧鸡漫志》云大石调，又转入道调宫，又转入高宫大石调。姜夔词注“双调”。元高拭词注“大石调，又大吕调”。苏轼“赤壁怀古”词有“大江东去，一樽还酹江月”句，因名《大江东去》，又名《酹江月》，又名《赤壁词》，又名《酹月》。曾觌词名《壶中天慢》。戴复古词有“大江西上”句，名《大江西上曲》。姚述尧词有“太平无事，欢娱时节”句，名《太平欢》。韩淲词有“年年眉寿，坐对南枝”句，名《寿南枝》，又名《古梅曲》。姜夔词名《湘月》，自注“即《念奴娇》，鬲指声。”张辑词有“柳花淮甸春冷”句，名《淮甸春》。米友仁词名《白雪词》。张翥词名《百字令》，又名《百字谣》。丘长春词名《无俗念》。游文仲词名《千秋岁》。《翰墨全书》词名《庆长春》，又名《杏花天》。
　　此调有平韵、仄韵二体，凡句读参差、大同小异者，谱内各以类列。",3058
615,解语花,Ze,,王行词注“林钟羽”。,118
616,绕佛阁,Ze,,调见《清真乐府》。,54
617,渡江云,PingAndZe,三犯渡江云,周密词名《三犯渡江云》。此调后段第四句例用仄韵，亦是三声叶，乃一定之格。宋元人俱如此填，惟陈允平有全押平韵、全押仄韵二体。,192
618,腊梅香,Ze,,此调有平韵、仄韵二体。仄韵者有吴、喻两词。平韵者止《梅苑》无名氏一词。,4
619,大椿,Ze,,调见《松隐集》，盖应制寿词也，取《庄子》“大椿”句为名。,1
620,八音谐,Ze,,调见曹勋《松隐集》，自注“以八曲声合成，故名。”,3
621,绛都春,Ze,,蒋氏《九宫谱》注“黄钟宫”。此调有平韵、仄韵两体，宋词多填仄韵，其用平韵者，惟陈允平一词。,118
622,琵琶仙,Ze,,姜夔自度黄钟商曲。,139
623,换巢鸾凤,PingAndZe,,调见《梅溪词》，史达祖自制曲，因词中有“换巢鸾凤教偕老”句，取以为名。或云前段用平韵，后段叶仄韵，“换巢”之义，疑出于此。,49
624,东风第一枝,Ze,,蒋氏《九宫谱》注“大石调”。,173
625,高阳台,Ping,庆春泽慢|庆春泽|庆春宫,高拭词注“商调”。刘镇词名《庆春泽慢》，王沂孙词名《庆春宫》。,921
626,春夏两相期,Ze,,调见《竹山词》。,10
627,垂杨,Ze,,调见陈允平《日湖渔唱》，本咏垂杨，即以为名。,25
628,采绿吟,PingAndZe,,宋周密自度曲，取词中起句二字为调名。,18
629,长寿仙,PingAndZe,,调见《松雪集》。,2
630,雪夜渔舟,Ze,,调见《虚靖真人词》，因词中有“自棹孤舟，顺流观雪”句，取以为名。,3
631,惜寒梅,Ze,,调见《复雅歌词》，因词有“喜寒梅、却与雪期霜约”句，取以为名。,2
632,惜花春起早慢,Ze,,调见《高丽史·乐志》，即赋题本意。,3
633,凤归云,Ping,,唐教坊曲名。柳永《乐章集》平韵一百一字者注“仙吕调”。仄韵一百十八字者注“林钟商调”。,15
634,木兰花慢,Ping,,宋柳永《乐章集》注“高平调”。,795
635,彩云归,Ping,,《宋史·乐志》：“仙吕调”。《乐章集》注“中吕调”。,12
636,满朝欢,Ze,,《乐章集》注“大石调”。,5
637,桂枝香,Ze,疏帘淡月|疏帘澹月,调见《乐府雅词》。张辑词有“疏帘淡月”句，又名《疏帘淡月》。,223
638,锦堂春慢,Ping,锦堂春,调见《青箱杂记》，《梅苑》词名《锦堂春》。,20
639,喜朝天,Ping,,调见张先词集，送蔡襄还朝作。按唐教坊有《朝天曲》，《宋史·乐志》有越调《朝天乐》曲，此盖借旧曲名自翻新声也。,4
640,剪牡丹,Ze,,《宋史·乐志》：女弟子舞队，第四曰佳人剪牡丹队。调名本此。,4
641,马家春慢,Ze,,调见《东山乐府》。,1
642,梅香慢,Ze,,调见《东山乐府》。,4
643,玉烛新,Ze,,调始《清真乐府》。《尔雅》云：“四时和，谓之玉烛。”取以为名。,62
644,六花飞,Ze,,调见《松隐集》。,2
645,清风满桂楼,Ze,,调见《松隐集》。,2
646,映山红慢,Ze,,调见元载词，咏牡丹作。,5
647,真珠帘,Ze,珍珠帘,调见《放翁词》。,98
648,曲江秋,Ze,,韩玉词注“正宫”。,10
649,翠楼吟,Ze,,姜夔自度夹钟商曲。,115
650,霓裳中序第一,Ze,,唐白居易《霓裳羽衣舞歌》云：“散序六奏未动衣，阳台宿云慵不飞。中序擘騞初入拍，秋竹吹裂春冰坼。”自注云：“散序六遍无拍，故不舞。中序始有拍，亦名拍序。”宋沈括《笔谈》云：“《霓裳曲》凡十二叠，前六叠无拍，至第七叠方谓之叠遍，自此始有拍而舞。”按此知《霓裳曲》十二叠，至七叠中序始舞，故以第七叠为中序第一，盖舞曲之第一遍也。,101
651,月当厅,Ping,,调见《梅溪词》，史达祖自度曲也。,8
652,寿楼春,Ping,,调见《梅溪集》，盖自度曲也。,86
653,秋色横空,Ping,,调见《天籁集》。,8
654,舜韶新,Ze,,宋王应麟《玉海》：“政和中，曹棐制徵调《舜韶新》。”,2
655,西平乐,Ze,西平乐慢,此调有仄韵、平韵两体。仄韵者始自柳永，《乐章集》注“小石调”。平韵者始自周邦彦，一名《西平乐慢》。,31
656,山亭宴,Ze,,调见张先词集，有美堂赠彦猷主人作，盖自度曲也。,16
657,望春回,Ze,,调见《乐府雅词》。,4
658,水龙吟,Ze,丰年瑞|鼓笛慢|龙吟曲|小楼连苑|庄椿岁,姜夔词注“无射商”，俗名越调。曾觌词结句有“是丰年瑞”句，名《丰年瑞》。吕渭老词名《鼓笛慢》。史达祖词名《龙吟曲》。杨樵云词因秦观词起句，更名《小楼连苑》。方味道词结句有“伴庄椿岁”句，名《庄椿岁》。,1333
659,斗百草,Ze,,调见《琴趣外篇》。,13
660,石州慢,Ze,柳色黄|石州引,《宋史·乐志》：“越调”。贺铸词有“长亭柳色才黄”句，名《柳色黄》。谢懋词名《石州引》。,124
661,上林春慢,Ze,,《宋史·乐志》：“中吕宫”。,7
662,宴清都,Ze,四代好,调始《清真乐府》，程垓词名《四代好》。,83
663,庆春宫,Ping,庆宫春,一名《庆宫春》。此调有平韵、仄韵两体。平韵体始自北宋，有周邦彦诸词。仄韵体始自南宋，有王沂孙诸词。,101
