id,name,type,aliases,desc,writing_count
303,冉冉云,Ze,弄花雨,韩淲词有“倚遍阑干弄花雨”句，更名《弄花雨》。,3
304,蝶恋花,Ze,鹊踏枝|黄金缕|卷珠帘|明月生南浦|细雨吹池沼|凤栖梧|一箩金|鱼水同欢|转调蝶恋花,唐教坊曲。本名《鹊踏枝》，宋晏殊词改今名。《乐章集》注“小石调”，赵令畤词注“商调”，《太平乐府》注“双调”。冯延巳词有“杨柳风轻，展尽黄金缕”句，名《黄金缕》。赵令畤词有“不卷珠帘，人在深深院”句，名《卷珠帘》。司马槱词有“夜凉明月生南浦”句，名《明月生南浦》。韩淲词有“细雨吹池沼”句，名《细雨吹池沼》。贺铸词名《凤栖梧》，李石词名《一箩金》，衷元吉词名《鱼水同欢》，沈会宗词名《转调蝶恋花》。,3094
305,寿山曲,Ping,,调见赵德麟《侯鲭录》，南唐冯延巳作。因词中有“圣寿南山永同”句，故名。,1
306,秋蕊香引,Ze,,《乐章集》注“小石调”。,2
307,惜琼花,Ze,,调见张先词集，为吴兴守时所赋也。,7
308,朝玉阶,Ping,,见杜安世《寿域词》。其调近《散天花》，然换头句平仄自不同也。,15
309,散天花,Ping,,唐教坊曲名。,11
310,荷华媚,Ze,,调见《东坡词集》，即赋题本意也。,2
311,少年心,PingAndZe,添字少年心,调见山谷词。有两体，一名《添字少年心》。,2
312,七娘子,Ze,,蒋氏《九宫谱目》入正宫引子。,44
313,一剪梅,Ping,腊梅香|玉簟秋,元高拭词注“南吕宫”。周邦彦词起句有“一剪梅花万样娇”句，取以为名。韩淲词有“一朵梅花百和香”句名《腊梅香》。李清照词有“红藕香残玉簟秋”句，名《玉簟秋》。,387
314,寻梅,Ze,,调见《乐府雅词》及《梅苑》，盖咏梅花也。因词中有“朝来寻见”句。取以为名。,3
315,锦帐春,Ze,,调见《稼轩集》。因词有“春色难留”及“重帘不卷，翠屏天远”句，故名。,22
316,唐多令,Ping,糖多令|南楼令|箜篌曲,《太和正音谱》：越调，亦入高平调。一作《糖多令》。周密因刘过词有“二十年重过南楼”句，名《南楼令》。张翥词有“花下钿箜篌”句，名《箜篌曲》。,413
317,摊破采桑子,Ping,摊破丑奴儿,调见《惜香乐府》，即《采桑子令》也。因前后段俱添入和声，自成一体。,8
318,后庭宴,Ze,,《庚溪诗话》云：“宋宣和中，掘地得石刻唐词，调名《后庭宴》。”,14
319,鞓红,Ze,,调见《梅苑》。,5
320,贺熙朝,Ze,,调见《花间集》。,4
321,拨棹子,Ze,,唐教坊曲名。,6
322,玉堂春,PingZeSwitch,,调见《珠玉集》。,19
323,系裙腰,Ping,芳草渡,调见张先词集。宋媛魏氏词名《芳草渡》。,15
324,赞成功,Ping,,调见《花间集》。,8
325,定风波,PingZeSwitch,定风流|定风波令,唐教坊曲名。李珣词名《定风流》，张先词名《定风波令》。,330
326,破阵子,Ping,十拍子,"唐教坊曲名，一名《十拍子》。陈旸《乐书》云：“唐《破阵子乐》属龟兹部，秦王所制，舞用二千人，皆画衣甲，执旗旆。外藩镇春衣犒军设乐，亦舞此曲，兼马军引入场，尤壮观也。”
　　按唐《破阵乐》乃七言绝句，此盖因旧曲名另度新声。元高拭词注“正宫”。",124
327,金蕉叶,Ze,,此调始自柳永，因词中有“金蕉叶泛金波霁”句，取以为名。袁去华、蒋捷词皆从柳词减字。《乐章集》注“大石调”。元高拭词注“越调”。,24
328,渔家傲,Ze,忍辱仙人|采莲舞,"明蒋氏《九宫谱目》入中吕引子。
按此调始自晏殊，因词有“神仙一曲渔家傲”句，取以为名。如杜安世词三声叶韵，蔡伸词添字者，皆变体也。外有《十二个月鼓子词》，其十一月、十二月起句俱多一字。欧阳修词云：“十一月，新阳排寿宴。十二月，严凝天地闭。”欧阳原功词云：“十一月，都人居暖阁。十二月，都人供暖箑。”此皆因月令，故多一字，非添字体也。",785
329,苏幕遮,Ze,鬓云松令|鬓云松|云雾敛|苏莫遮,唐教坊曲名。按《唐书·宋务光传》，比见都邑坊市，相率为浑脱队，骏马戎服，名《苏幕遮》。　又按张说集有《苏幕遮》七言绝句，宋词盖因旧曲名，另度新声也。周邦彦词有“鬓云松”句，更名《鬓云松令》。金词注“般涉调”。,405
330,摊破南乡子,Ping,青杏儿|似娘儿|庆灵椿|闲闲令,《太平乐府》、《中原音韵》俱注“大石调”。高拭词注“南吕宫”。《太和正音谱》注“小石调，亦入仙吕宫”。赵长卿词名《青杏儿》，又名《似娘儿》。《翰墨全书》黄右曹词有“寿堂已庆灵椿老”句，名《庆灵椿》。《中州乐府》赵秉文词有“但教有酒身无事”句，名《閒閒令》。,43
331,明月逐人来,Ze,,按《能改斋漫录》云李持正自撰谱，盖因词有“皓月随人近远”句，故名。,22
332,甘州遍,Ping,,按唐教坊大曲有《甘州》。凡大曲多遍，此则《甘州曲》之一遍也。,13
333,别怨,Ping,,调见《惜香乐府》。因词有“翻成别怨不胜悲”句，取以为名。,3
334,麦秀两岐,Ze,麦秀两歧,唐教坊曲名。《碧鸡漫志》云，属黄钟宫。,4
335,献衷心,Ping,,唐教坊曲名。,7
336,黄钟乐,Ping,,唐教坊曲名。,8
337,醉春风,Ze,怨东风,赵鼎词名《怨东风》。《太平乐府》、《中原音韵》俱入中吕类。《太和正音谱》注“中吕宫，亦入正宫，又入双调”。蒋氏《十三调》注“中吕调”。,97
338,握金钗,Ze,戛金钗,《梅苑》无名氏词名《戛金钗》。,8
339,侍香金童,Ze,,金词注“黄钟宫”，又“黄钟调”。按《开天遗事》，王元宝常于寝帐床前，雕矮童二人，捧一宝博山炉，自暝焚香彻晓，调名取此。无名氏词即咏其事也。,21
340,缑山月,Ping,,蒋氏《九宫谱目》入正宫引子。,2
341,喝火令,Ping,,调见《琴趣外篇》。,118
342,芭蕉雨,Ze,,调见程垓《书舟词》。,17
343,淡黄柳,Ze,澹黄柳,姜夔自度曲。《白石集》注“正平调”。,61
344,辊绣毬,Ze,辊绣球,调见《惜香乐府》。,9
345,锦缠道,Ze,锦缠头|锦缠绊,《全芳备祖·乐府》名《锦缠头》，江衍词名《锦缠绊》，原注“黄钟宫”。,37
346,厌金杯,Ze,献金杯,调见《东山乐府》，一名《献金杯》。,4
347,庆春泽,Ze,,此调有两体，六十六字者见张先词，九十八字者见《梅苑》词。,12
348,行香子,Ping,爇心香,《中原音韵》、《太平乐府》俱注“双调”。蒋氏《九宫谱目》入中吕引子。,393
349,酷相思,Ze,,调见《书舟雅词》。,65
350,解佩令,Ze,解冤结,调见《小山乐府》。按《楚辞》“捐予佩兮澧浦”，《韩诗外传》“郑交甫遇汉皋神女解佩”，调名取此。,104
351,垂丝钓,Ze,,《中原音韵》注“商角调”。《太平乐府》注“商调”。,19
352,谢池春,Ze,风中柳|风中柳令|玉莲花|卖花声,李石词名《风中柳》，《高丽史》无名氏词名《风中柳令》，孙道绚词名《玉莲花》，黄澄词名《卖花声》。,92
353,胜胜令,Ping,声声令,俞克成词名《声声令》。,13
354,玉梅令,Ze,,姜夔自度高平调曲，因词中有“玉梅几树”句，取以为名。,10
355,青玉案,Ze,西湖路,汉张衡诗“何以报之青玉案”，调名取此。《中原音韵》注“双调”。《太和正音谱》注“高平调”。蒋氏《九宫谱目》入中吕引子。韩淲词有“苏公堤上西湖路”句，名《西湖路》。,509
356,感皇恩,Ze,叠萝花|泛清苕,唐教坊曲名。陈旸《乐书》：祥符中，诸工请增龟兹部如教坊，其曲有《双调感皇恩》。金词注“大石调”。《中原音韵》注“南吕宫”。党怀英词名《叠萝花》。,221
357,钿带长中调,Ping,鈿帶長中腔,调见《大声集》，即咏钿带香囊本意。,2
358,梦行云,Ze,六幺花十八|花十八,调见《梦窗词藁》。自注：“一名《六幺花十八》。”《碧鸡漫志》云：“六幺曲内一叠，名《花十八》，前后十八拍。”,6
