id,writing_id,allusion_index,allusion_key,sentence_index
1,3426,,,1
2,3426,,,2
3,3426,,,3
4,3430,,,3
5,3437,,,3
6,3408,,,2
7,3408,,,0
8,3408,,,2
9,3442,,,3
10,3404,,,3
11,3477,,,9
12,3477,,,5
13,3477,,,1
14,3459,,,3
15,3459,,,3
16,3459,,,9
17,3459,,,9
18,3410,,,3
19,3410,,,6
20,3452,,,3
21,3456,,,3
22,3456,,,4
23,3456,,,3
24,3454,,,1
25,3454,,,4
26,3454,,,4
27,3448,,,3
28,3448,,,4
29,3448,,,4
30,3455,,,7
31,3455,,,8
32,3455,,,8
33,3447,,,7
34,3447,,,2
35,3460,,,5
36,3460,,,1
37,3472,,,16
38,3472,,,4
39,3472,,,4
40,3470,,,0
41,3478,,,6
42,3478,,,4
43,3466,,,4
44,3466,,,5
45,3466,,,5
46,3482,,,10
47,3487,,,3
48,3480,,,9
49,42083,,,2
50,42083,,,0
51,42114,,,3
52,42063,,,2
53,42063,,,2
54,42093,,,1
55,42093,,,1
56,42168,,,3
57,42116,,,1
58,42116,,,2
59,42118,,,3
60,42058,,,1
61,42121,,,1
62,42121,,,3
63,42074,,,0
64,42074,,,1
65,42074,,,3
66,42075,,,1
67,42077,,,1
68,42077,,,1
69,42094,,,0
70,42094,,,0
71,42094,,,3
72,42110,,,3
73,42110,,,0
74,42111,,,3
75,42097,,,0
76,42097,,,0
77,42095,,,0
78,42095,,,0
79,42098,,,2
80,42086,,,0
81,42086,,,3
82,42086,,,3
83,42085,,,3
84,42071,,,0
85,42071,,,1
86,42071,,,1
87,42090,,,3
88,42090,,,0
89,42092,,,1
90,42112,,,0
91,42070,,,3
92,42108,,,0
93,42079,,,0
94,42089,,,3
95,42073,,,3
96,42091,,,3
97,42088,,,1
98,42088,,,3
99,42088,,,2
100,42088,,,1
101,42081,,,1
102,42105,,,1
103,42106,,,3
104,42177,,,3
105,42100,,,2
106,42103,,,3
107,42103,,,3
108,42104,,,1
109,42065,,,3
110,42066,,,3
111,42068,,,1
112,42068,,,3
113,42069,,,3
114,42060,,,3
115,42060,,,3
116,42061,,,0
117,42061,,,1
118,42061,,,1
119,42062,,,1
120,42115,,,3
121,42117,,,3
122,42050,,,0
123,42056,,,1
124,42053,,,1
125,42051,,,1
126,42158,,,6
127,42161,,,5
128,42161,,,4
129,42161,,,4
130,42144,,,3
131,42144,,,1
132,42162,,,3
133,42162,,,3
134,42152,,,1
135,42152,,,3
136,42163,,,4
137,42141,,,4
138,42141,,,3
139,42141,,,0
140,42141,,,3
141,42141,,,4
142,42157,,,5
143,42156,,,4
144,42156,,,4
145,42125,,,4
146,42125,,,5
147,42138,,,1
148,42138,,,1
149,42132,,,4
150,42135,,,1
151,42135,,,3
152,42135,,,3
153,42139,,,5
154,42150,,,1
155,42160,,,2
156,42160,,,1
157,42160,,,2
158,42131,,,2
159,42131,,,0
160,42131,,,2
161,42148,,,7
162,42148,,,6
163,42148,,,5
164,42148,,,7
165,42154,,,4
166,42154,,,0
167,42154,,,6
168,42151,,,5
169,42151,,,3
170,42155,,,6
171,42133,,,6
172,42133,,,1
173,42129,,,6
174,42129,,,6
175,42129,,,2
176,42129,,,1
177,42153,,,6
178,42137,,,2
179,42137,,,3
180,42137,,,1
181,42137,,,1
182,42137,,,3
183,42128,,,5
184,42128,,,6
185,42128,,,6
186,42128,,,1
187,42130,,,3
188,42130,,,3
189,42140,,,8
190,42143,,,1
191,42143,,,5
192,42143,,,8
193,42143,,,9
194,42143,,,6
195,42143,,,4
196,42143,,,7
197,42143,,,5
198,42142,,,10
199,42142,,,2
200,42142,,,2
201,42146,,,9
202,42146,,,9
203,42146,,,4
204,42146,,,8
205,42146,,,7
206,42146,,,2
207,42165,,,7
208,42165,,,4
209,42165,,,2
210,42165,,,8
211,42165,,,10
212,42165,,,2
213,42165,,,10
214,42165,,,1
215,42165,,,7
216,42165,,,4
217,42134,,,11
218,42134,,,13
219,42134,,,13
220,42134,,,5
221,42134,,,8
222,42134,,,1
223,42134,,,8
224,42145,,,16
225,42145,,,14
226,42145,,,4
227,42145,,,5
228,42145,,,17
229,42145,,,13
230,42145,,,13
231,42145,,,4
232,42145,,,0
233,42145,,,9
234,42145,,,0
235,42145,,,15
236,42145,,,5
237,42145,,,14
238,42145,,,15
239,42145,,,6
240,42145,,,16
241,42164,,,10
242,42164,,,5
243,42164,,,8
244,42164,,,27
245,42164,,,6
246,42164,,,5
247,42164,,,31
248,42178,,,10
249,42178,,,43
250,42178,,,23
251,42178,,,23
252,42178,,,27
253,42178,,,13
254,42178,,,27
255,42178,,,7
256,42178,,,8
257,42178,,,3
258,42178,,,-1
259,42178,,,41
